Дата,store_id,item_id,Quantity
2025-02-20,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2834619565917533
2025-02-21,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3380181856113165
2025-02-22,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.297946586184627
2025-02-23,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3128504436078354
2025-02-24,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.405422856165518
2025-02-25,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.253871590821225
2025-02-26,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3002718340090813
2025-02-27,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.290391492451322
2025-02-28,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3417766106186697
2025-03-01,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2976959998726305
2025-03-02,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3079130987979712
2025-03-03,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.395306455172047
2025-03-04,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2382878866922034
2025-03-05,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2791480064108804
2025-03-06,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2638740070439267
2025-03-07,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.310227515624117
2025-03-08,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2616818564325922
2025-03-09,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2681869751764894
2025-03-10,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3527836318417688
2025-03-11,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.194016113387633
2025-03-12,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2342733176178204
2025-03-13,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2196032344242873
2025-03-14,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.267788730831458
2025-03-15,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.222284033181488
2025-03-16,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.232980174021848
2025-03-17,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.322820984891163
2025-03-18,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.170218820337079
2025-03-19,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2173997615456726
2025-03-20,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.210223189172048
2025-03-21,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2662634661455594
2025-03-22,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2287529344013706
2025-03-23,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2473542860528095
2025-03-24,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3447836719944006
2025-03-25,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.199233510726821
2025-03-26,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.252724525740166
