Дата,store_id,grouptxt,item_id,Quantity
2025-01-01,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.0094102561145935
2025-01-02,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.3993691803974047
2025-01-03,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.1433222707268698
2025-01-04,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.3055032326064673
2025-01-05,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.0919695815793586
2025-01-06,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.0383435256799247
2025-01-07,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.095371142761124
2025-01-08,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.6853497140291775
2025-01-09,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.066998674846322
2025-01-10,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.8142797811607538
2025-01-11,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9907684988243046
2025-01-12,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.8016034805290593
2025-01-13,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.7812549177963968
2025-01-14,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.8791168804349478
2025-01-15,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.5159725918000424
2025-01-16,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9489070680640168
2025-01-17,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.7501715957476982
2025-01-18,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9816008698465897
2025-01-19,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.8466084438668107
2025-01-20,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.8780000697625479
2025-01-21,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.0236088674333024
2025-01-22,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.702800166758955
2025-01-23,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.1714194419466635
2025-01-24,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.0006869269707552
2025-01-25,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.2516389947165223
2025-01-26,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.1271413758284083
2025-01-27,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.1597133983488153
2025-01-28,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.2971669782518553
2025-01-29,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9591081857054435
2025-01-30,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.4018749785747673
2025-01-31,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.1974150471440748
2025-02-01,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.4077043799251983
2025-02-02,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.2367323097262277
2025-02-03,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.2182930401907495
2025-02-04,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.301588314263312
2025-02-05,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.907690066643644
2025-02-06,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.2944377262457767
2025-02-07,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.0352752147503095
2025-02-08,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.193629350534551
2025-02-09,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9748564841374732
2025-02-10,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.913998371438269
2025-02-11,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9613528643391067
2025-02-12,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.5389090678441004
2025-02-13,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.9052223044737602
2025-02-14,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.6342344582084225
2025-02-15,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.7896417724578875
2025-02-16,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.5768371245010817
2025-02-17,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.5306678070662167
2025-02-18,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.6010142511173857
2025-02-19,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.2092390293674171
2025-02-20,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.6130810190469864
2025-02-21,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.3854996957908687
2025-02-22,mFgAGZmZFE4R4zMCL19vIg==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-1.5890709131748801
