Дата,store_id,grouptxt,item_id,Quantity
2025-02-17,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.867569660539171
2025-02-18,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.775549709533015
2025-02-19,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6726738869041053
2025-02-20,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7638463505578965
2025-02-21,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.760068947222055
2025-02-22,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.678718076789313
2025-02-23,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.811396547701159
2025-02-24,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.8069207217277445
2025-02-25,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.72977472385578
2025-02-26,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6411222647730246
2025-02-27,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7455270959239964
2025-02-28,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7536822462329735
2025-03-01,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.682694867187965
2025-03-02,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.8239448735545722
2025-03-03,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.8260775016996864
2025-03-04,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7534614258900563
2025-03-05,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6672028890695905
2025-03-06,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7718668234594412
2025-03-07,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.778205112484425
2025-03-08,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7034388694872584
2025-03-09,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.8391130136495684
2025-03-10,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.8340833994093972
2025-03-11,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7529683108628884
2025-03-12,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6571549802556276
2025-03-13,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.7515123338181113
2025-03-14,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.747110362861354
2025-03-15,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.66149325327317
